id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm24110,Strange Voices,MOVIE,1987-01-01,100,['drama'],['US'],6.2,388.0,1.219,6.8
ts2760,Fireman Sam,SHOW,1987-01-01,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],6.1,1875.0,50.615,6.826
tm157853,In Defense of a Married Man,MOVIE,1990-01-01,94,"['drama', 'crime']",['US'],5.5,220.0,2.206,5.0
tm127515,The Four Seasons,MOVIE,1981-01-01,107,"['romance', 'comedy', 'drama']",['US'],6.8,5093.0,6.269,6.282
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989-01-01,72,['comedy'],['GB'],8.1,1555.0,1.757,7.1
tm52274,The Little Wars,MOVIE,1983-01-01,108,"['drama', 'war', 'european']","['LB', 'FR']",6.4,161.0,2.318,5.5
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982-01-01,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],7.6,1322.0,11.016,7.561
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982-01-01,77,"['comedy', 'documentation']",['GB'],7.9,15393.0,10.07,7.4
ts987,Danger Mouse,SHOW,1981-01-01,14,"['animation', 'comedy', 'family', 'scifi', 'action', 'european']",['GB'],7.4,3678.0,6.517,7.2
tm147829,Unspeakable Acts,MOVIE,1990-01-01,100,['drama'],['US'],6.1,494.0,2.641,5.3
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981-01-01,135,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],7.2,1378.0,10.359,7.291
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988-01-01,124,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],7.3,1824.0,8.869,6.907
tm159912,Agneepath,MOVIE,1990-01-01,174,"['drama', 'crime', 'action']",['IN'],7.6,9142.0,7.424,6.4
tm126769,Waiting for the Hearse,MOVIE,1985-01-01,87,['comedy'],['AR'],8.0,6714.0,7.593,8.18
tm114356,The George McKenna Story,MOVIE,1986-01-01,100,['drama'],['US'],6.0,974.0,3.385,6.1
tm137013,The Ryan White Story,MOVIE,1989-01-01,102,['drama'],['US'],7.2,903.0,2.683,6.308
tm52815,Disco Dancer,MOVIE,1982-01-01,134,"['drama', 'romance']",['IN'],6.4,1548.0,6.019,5.45
tm94651,Dostana,MOVIE,1982-01-01,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],1.7,26.0,5.947,6.1
tm446654,Mujrim,MOVIE,1989-01-01,162,"['drama', 'action', 'crime']",['IN'],5.5,232.0,5.599,8.0
tm172482,Sohni Mahiwal,MOVIE,1985-01-01,160,"['drama', 'romance', 'action']",['IN'],6.1,297.0,5.222,5.8
tm157603,Dil,MOVIE,1990-01-01,172,"['drama', 'comedy', 'romance']",['IN'],6.6,5467.0,3.882,6.5
tm411457,Pyar Ke Do Pal,MOVIE,1986-01-01,153,"['action', 'drama']",['IN'],6.2,78.0,2.694,10.0
tm371359,Jaal,MOVIE,1986-01-01,159,"['action', 'drama', 'thriller']",['IN'],5.2,141.0,2.034,6.7
tm342996,Duniya,MOVIE,1984-01-01,170,"['action', 'drama']",['IN'],6.4,265.0,1.947,10.0
tm348735,Aakhri Adaalat,MOVIE,1988-01-01,148,"['crime', 'action', 'thriller']",['IN'],5.4,103.0,1.932,5.0
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988-01-01,100,['drama'],['US'],7.2,149.0,1.93,8.0
tm311264,Muqaddar Ka Faisla,MOVIE,1987-01-01,172,"['comedy', 'drama', 'family', 'action']",['IN'],4.8,73.0,1.908,0.0
tm151332,"Alexandria, Again and Forever",MOVIE,1990-01-01,105,['drama'],"['EG', 'FR']",6.5,720.0,1.764,5.3
tm258072,Adam: His Song Continues,MOVIE,1986-01-01,100,"['crime', 'drama']",['US'],6.9,220.0,1.742,7.5
tm51083,A Stoning in Fulham County,MOVIE,1988-01-01,95,"['drama', 'thriller', 'crime']",['US'],5.9,416.0,1.646,5.3
tm419052,Ek Jaan Hain Hum,MOVIE,1983-01-01,151,"['family', 'romance']",['IN'],6.3,79.0,1.506,7.0
tm38736,Too Young The Hero,MOVIE,1988-01-01,100,"['drama', 'war']",['US'],6.8,519.0,1.467,6.2
tm47673,An Egyptian Story,MOVIE,1983-01-01,129,"['drama', 'fantasy']",['EG'],7.3,1190.0,1.19,6.7
ts20981,Survivor,SHOW,2000-01-01,48,['reality'],['US'],7.5,25709.0,66.565,7.426
ts20339,One Piece,SHOW,1999-01-01,23,"['action', 'comedy', 'animation', 'scifi', 'fantasy', 'drama']",['JP'],8.9,133488.0,174.112,8.707
ts21223,Pokémon,SHOW,1997-01-01,22,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'family']",['JP'],7.4,224.0,534.831,7.7
tm185123,Sleepless in Seattle,MOVIE,1993-01-01,105,"['comedy', 'drama', 'romance']",['US'],6.8,180523.0,17.739,6.711
tm122434,Forrest Gump,MOVIE,1994-01-01,142,"['comedy', 'drama', 'romance']",['US'],8.8,2106826.0,69.614,8.479
tm123099,Reservoir Dogs,MOVIE,1992-01-01,99,"['thriller', 'crime', 'drama']",['US'],8.3,1031133.0,31.647,8.141
ts21567,Gilmore Girls,SHOW,2000-01-01,46,"['comedy', 'drama']",['US'],8.2,131967.0,265.155,7.916
ts34435,Cowboy Bebop,SHOW,1998-01-01,25,"['scifi', 'western', 'action', 'thriller', 'animation', 'comedy', 'drama']",['JP'],8.9,123834.0,60.015,8.522
tm60722,Galaxy Quest,MOVIE,1999-01-01,101,"['scifi', 'comedy']",['US'],7.4,166882.0,17.967,7.1
ts20983,Neon Genesis Evangelion,SHOW,1995-01-01,24,"['scifi', 'animation', 'action', 'fantasy', 'thriller', 'drama']",['JP'],8.5,73413.0,51.872,8.656
tm107165,Jerry Maguire,MOVIE,1996-01-01,138,"['drama', 'romance', 'sport', 'comedy']",['US'],7.3,272498.0,20.241,6.947
tm39130,Notting Hill,MOVIE,1999-01-01,124,"['romance', 'comedy', 'drama']","['US', 'GB']",7.2,320706.0,27.642,7.261
ts21321,The Real World,SHOW,1992-01-01,32,"['reality', 'comedy', 'animation', 'documentation', 'drama']",['US'],6.3,28.0,22.549,6.1
ts20960,Power Rangers,SHOW,1993-01-01,22,"['action', 'scifi', 'family', 'fantasy', 'animation']",['US'],6.5,23091.0,37.756,6.83
tm53991,Big Daddy,MOVIE,1999-01-01,93,"['comedy', 'drama', 'european']",['US'],6.4,222489.0,24.717,6.453
tm11556,The Quick and the Dead,MOVIE,1995-01-01,107,"['western', 'thriller', 'action', 'romance']","['JP', 'US']",6.5,97101.0,19.366,6.5
ts6236,Big Brother,SHOW,2000-01-01,43,['reality'],['US'],5.5,10811.0,67.799,4.938
tm191374,I Know What You Did Last Summer,MOVIE,1997-01-01,101,"['horror', 'thriller']",['US'],5.7,142696.0,15.885,5.933
ts22193,The Magic School Bus,SHOW,1994-01-01,26,"['animation', 'comedy', 'family', 'fantasy', 'scifi']","['US', 'CA']",7.8,10291.0,23.413,7.7
ts21034,Inuyasha,SHOW,2000-01-01,25,"['animation', 'action', 'comedy', 'drama', 'fantasy', 'romance', 'scifi']",['JP'],7.9,16790.0,130.678,8.6
tm12172,Kicking and Screaming,MOVIE,1995-01-01,95,"['comedy', 'drama', 'romance']",['US'],6.7,14015.0,11.962,6.285
tm191772,Seven Years in Tibet,MOVIE,1997-01-01,139,"['drama', 'war', 'history']","['GB', 'US']",7.1,147831.0,22.433,7.162
ts25252,Yu-Gi-Oh!,SHOW,1998-01-01,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.3,21954.0,28.2,7.23
tm53805,Stepmom,MOVIE,1998-01-01,125,"['drama', 'comedy']",['US'],6.8,70584.0,18.658,7.148
tm46173,The Mask of Zorro,MOVIE,1998-01-01,136,"['action', 'comedy', 'romance', 'thriller', 'western']",['US'],6.8,188900.0,37.868,6.5
tm46410,Life,MOVIE,1999-01-01,108,"['comedy', 'crime', 'drama']",['US'],6.8,52243.0,19.109,6.6
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997-01-01,87,"['drama', 'animation', 'action', 'scifi', 'fantasy']",['JP'],8.1,57273.0,34.894,8.363
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993-01-01,22,"['scifi', 'action', 'comedy', 'western', 'family', 'animation', 'fantasy']",['US'],6.2,4035.0,16.231,6.5
tm6859,My Girl,MOVIE,1991-01-01,102,"['drama', 'comedy', 'family', 'romance', 'european']",['US'],6.9,83620.0,35.444,7.4
ts27693,Kenan & Kel,SHOW,1996-01-01,25,"['family', 'comedy']",['US'],7.8,16037.0,47.356,8.253
tm255589,One Last Shot,MOVIE,1998-01-01,30,[],[],0.0,0.0,2.31,5.2
ts21581,Girlfriends,SHOW,2000-01-01,21,"['drama', 'comedy']",['US'],7.4,4715.0,55.719,7.607
ts22039,H,SHOW,1998-01-01,25,['comedy'],['FR'],7.4,1803.0,5.473,7.375
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998-01-01,75,"['comedy', 'documentation']",['US'],7.8,5998.0,5.353,7.468
tm63514,The Last Days,MOVIE,1999-01-01,87,"['drama', 'documentation', 'war']",['US'],7.9,4871.0,6.591,7.589
tm56033,Croupier,MOVIE,1998-01-01,94,"['thriller', 'drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",7.0,22470.0,11.297,6.776
tm10811,Heavy,MOVIE,1995-01-01,105,"['drama', 'romance']",['US'],6.8,5382.0,4.536,6.8
ts16919,All That,SHOW,1994-01-01,24,"['comedy', 'family', 'music']",['US'],7.5,7913.0,16.738,8.119
tm110217,The Nutty Professor,MOVIE,1996-01-01,95,"['romance', 'comedy', 'scifi']",['US'],5.7,119572.0,19.383,5.6
ts21684,Heartbreak High,SHOW,1994-01-01,45,"['drama', 'romance']",['AU'],7.8,3341.0,28.799,7.115
tm1280414,Evangelion: Death (True)²,MOVIE,1998-01-01,69,"['animation', 'scifi', 'action', 'drama']",['JP'],0.0,0.0,11.192,7.0
ts25249,The Wiggles,SHOW,1998-01-01,20,"['family', 'fantasy', 'music', 'comedy', 'european']",['AU'],8.0,165.0,20.011,6.214
tm55369,Edge of Seventeen,MOVIE,2000-01-01,104,"['romance', 'comedy', 'drama']",['US'],6.8,6803.0,8.508,6.5
ts22286,Cardcaptor Sakura,SHOW,1998-01-01,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation']",['JP'],8.0,5234.0,89.819,8.589
